##### SMART CAR DATA-LOG #####

>> TRAINING DATA LOG : 
#Front Sensor Data : 333 cm
#Left Sensor Data  : 4 cm
#Right Sensor Data : 4 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
#Front Sensor Data : 331 cm
#Left Sensor Data  : 4 cm
#Right Sensor Data : 4 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
#Front Sensor Data : 324 cm
#Left Sensor Data  : 3 cm
#Right Sensor Data : 4 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
#Front Sensor Data : 301 cm
#Left Sensor Data  : 4 cm
#Right Sensor Data : 3 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
#Front Sensor Data : 283 cm
#Left Sensor Data  : 4 cm
#Right Sensor Data : 4 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
#Front Sensor Data : 240 cm
#Left Sensor Data  : 4 cm
#Right Sensor Data : 4 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
#Front Sensor Data : 237 cm
#Left Sensor Data  : 66 cm
#Right Sensor Data : 276 cm
#User Command Received : Turn "LEFT".

>> TRAINING DATA LOG : 
#Front Sensor Data : 207 cm
#Left Sensor Data  : 4 cm
#Right Sensor Data : 207 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
#Front Sensor Data : 178 cm
#Left Sensor Data  : 4 cm
#Right Sensor Data : 3 cm
#User Command Received : Turn "RIGHT".

>> TRAINING DATA LOG : 
#Front Sensor Data : 2488 cm
#Left Sensor Data  : 3 cm
#Right Sensor Data : 3 cm
#User Command Received : Turn "RIGHT".

>> TRAINING DATA LOG : 
#Front Sensor Data : 188 cm
#Left Sensor Data  : 3 cm
#Right Sensor Data : 3 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
#Front Sensor Data : 108 cm
#Left Sensor Data  : 3 cm
#Right Sensor Data : 3 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
#Front Sensor Data : 79 cm
#Left Sensor Data  : 6 cm
#Right Sensor Data : 3 cm
#User Command Received : Turn "LEFT".

>> TRAINING DATA LOG : 
#Front Sensor Data : 56 cm
#Left Sensor Data  : 7 cm
#Right Sensor Data : 6 cm
#User Command Received : Turn "LEFT".

>> TRAINING DATA LOG : 
#Front Sensor Data : 76 cm
#Left Sensor Data  : 7 cm
#Right Sensor Data : 8 cm
#User Command Received : Turn "LEFT".

>> TRAINING DATA LOG : 
#Front Sensor Data : 196 cm
#Left Sensor Data  : 4 cm
#Right Sensor Data : 30 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
#Front Sensor Data : 165 cm
#Left Sensor Data  : 5 cm
#Right Sensor Data : 5 cm
#User Command Received : Go Straight (Default).

>> TRAINING DATA LOG : 
